mass,"['HZ+', 'WH+', 'WW']","['HZ-', 'WH-', 'WW']"
321,1.183809663234331,1.1525327490104267
344,0.7444238270614758,0.7282166436570126
368,0.7268446480164322,0.7594711497776159
394,0.5659563813351097,0.5396710755153546
421,0.5111057026986187,0.5065877433265479
445,0.4492254041772694,0.4470164799047365
471,0.4356170853679651,0.43857013896233144
497,0.4070054305239678,0.408133516171719
520,0.40506616346522045,0.44437876876161747
546,0.4002930908716005,0.3530112376111363
573,0.41298604454856264,0.4098110200953485
598,0.383806254968514,0.39370534470780094
622,0.4021262895771614,0.4224899827105457
648,0.38246056588804833,0.3891998650249706
672,0.4960450898687113,0.43282455230452815
696,0.47884716488679074,0.43593112550178736
722,0.49118041847403593,0.49309773190194195
747,0.49562416858748226,0.5278454322497019
770,0.5457464286049359,0.5618890923210117
794,0.6166300372709609,0.6416430037370532
819,0.6733122392308919,0.7122897039091844
