mass,WH
250,1.894819977528672
300,0.47306307079597404
350,0.2960174797629982
400,0.2167583104562429
450,0.16815505756503907
500,0.14820197000226393
550,0.13051991950463077
600,0.13138663894954475
650,0.13367886054711767
700,0.14663048107230037
725,0.15261777105765217
775,0.17009473699925645
800,0.18717461880038183
850,0.21114712808056638
900,0.24681607620899404
950,0.3022436101476894
1000,0.38891152502297577
