mass,"['WZ+', 'WH+', 'WW']","['WZ-', 'WH-', 'WW']"
361,0.2537455170587976,0.26147871297450936
388,0.13249150981332425,0.13982644168141511
415,0.10991238599751582,0.11268023916756054
441,0.10687869190761738,0.1238419340733857
467,0.10629507546660329,0.11832264897863452
493,0.10683226118850794,0.12434484019870903
520,0.09894103785320574,0.10902725740246888
546,0.09463700651708837,0.12134159454965601
572,0.08829173120830458,0.11122483747116828
597,0.09263734677715353,0.11955340955105741
624,0.0937959233023939,0.10685548530621418
651,0.09012028240840099,0.09209280882414336
678,0.1294838293726332,0.11792224527515636
704,0.10447393160014748,0.14119322889418207
728,0.12263401874207616,0.14510560649198637
753,0.1449453308143885,0.15823845492727737
778,0.1591722681483941,0.15416192841331586
802,0.18286058727424914,0.19752156715829608
826,0.1756784440796066,0.20224457857822642
850,0.1725938953823911,0.25540768474843295
