mass,"['HZ+', 'WH+', 'WW']","['HZ-', 'WH-', 'WW']"
357,0.4045914730791786,0.411280827211267
382,0.31376646562649785,0.30676799361316937
408,0.2957052097430089,0.29331847266440064
435,0.24164303836417572,0.23092954253927972
461,0.23939440096620213,0.23631299653558224
487,0.21170377089815895,0.21152484917207287
514,0.17237465890313608,0.1660447981892429
540,0.1644383080557642,0.16524430653795824
567,0.17168390397228786,0.154362036195438
594,0.16288642735215753,0.16695617527365997
620,0.16073397936971054,0.1548050032813817
647,0.17262651409862687,0.17519707169992954
673,0.2029003185011979,0.19495476228512204
700,0.19969433647545906,0.20832414749406264
726,0.2027078885435004,0.20583919901642625
753,0.22524176926747244,0.22504433229917012
780,0.22724217776964153,0.25807923158798907
806,0.2656861383721901,0.25305862783298544
833,0.3165912570295042,0.2972653249913544
860,0.3386014392783165,0.342738694703553
886,0.3585036933598452,0.3488568913170961
