mass,"['HZ+', 'WH+', 'WW']","['HZ-', 'WH-', 'WW']"
321,0.10998963376108287,0.10817572443699915
344,0.056150307589038696,0.05614825084599087
368,0.03916041578908035,0.046645797971244865
394,0.025339495926195516,0.024293646094633477
421,0.018290618237723474,0.01847445161009186
445,0.014018697263919872,0.012842447449016258
471,0.011683269740949614,0.010738676108058263
497,0.005905299740975417,0.008565220830228999
520,0.00724237469801295,0.006965087463199804
546,0.004030337839893982,0.0038139765284359575
573,0.003291580328360633,0.00407612023642654
598,0.0024666455897310344,0.002999969303762347
622,0.0022962304224976365,0.0030534207603961443
648,0.0021876755265126386,0.00215030440059677
672,0.0020809445864576263,0.0021606617509448323
696,0.0015070350718937868,0.0015079283268089256
722,0.0013958101890203059,0.0015190657367018148
747,0.0014417590340449942,0.0011117399546769526
770,0.0009537520997736904,0.001090114757260597
794,0.0008643206881013067,0.0009767444638220366
819,0.0009550511241217816,0.0009445480188230539
