mass,WZ
250,2.0572081643944773
300,0.867557000165965
350,0.7619543061533807
400,0.5217707520793905
450,0.37695697272158435
500,0.3435205278606917
550,0.30000640548262986
600,0.363153401182848
650,0.3958726569174259
700,0.4541734848082216
725,0.46270844015443513
775,0.5216143670591449
800,0.6060450075447383
850,0.6843743993296899
900,0.9229806994095308
950,1.0992286191202594
1000,1.7122501280244171
