mass,"['HZ+', 'WH+', 'WW']","['HZ-', 'WH-', 'WW']"
339,0.6387161033099185,0.7182313325482796
366,0.6007541905803787,0.6672683322516332
389,0.4586597450483255,0.5135514898645228
418,0.4266854478555321,0.4258004221644992
442,0.3643074485103511,0.42294345053178073
467,0.3579548877871955,0.38897487932709307
491,0.3560567778835944,0.35273984253048546
517,0.3528540375875153,0.3525873252038957
544,0.31866745191384244,0.3375937005880664
566,0.3286909013604509,0.31193890835770943
594,0.30753475241502526,0.3348232177706271
615,0.3538866089834993,0.3405357609244954
640,0.31327345919687916,0.3278766779600838
665,0.334195736033649,0.38898216309096245
688,0.38167155198816904,0.3612360074480859
714,0.38849860453229423,0.4291683778938815
739,0.4223684411422016,0.419508333825359
763,0.39992587394111667,0.47101301969444154
788,0.47610729523049916,0.5421789113247325
814,0.5034697965492106,0.5724598671400166
