mass,WW
250,6.1259592573201695
300,3.598194810828851
350,2.1989386998845895
400,1.996973630628441
450,1.695828786390058
500,1.647743687187051
550,1.621683348933737
600,1.8719273350887606
650,2.1445983391901606
700,2.4099336776715656
725,2.782876449501205
775,3.8986456249481862
800,4.264185132819081
850,8.046503455780428
900,31.573337335312846
950,75.68660101776756
1000,139.8240161466483
