mass,"['WZ+', 'WH+', 'WW']","['WZ-', 'WH-', 'WW']"
361,0.22889932714051697,0.23452328088663923
388,0.13826407398877263,0.13634730997411473
415,0.11437882837297755,0.10859592328601927
441,0.11331880907913916,0.11718890135754
467,0.10384803697501288,0.11900073632320303
493,0.10391585112927852,0.10827315342009639
520,0.104243884305802,0.11216547646765314
546,0.08565715800458186,0.10307488901851257
572,0.10259554560341133,0.11246192076295096
597,0.09623436492495922,0.10575178042145972
624,0.09120507358533096,0.11482453644770566
651,0.10258626803969838,0.11432105177259816
678,0.10817771731500694,0.12751916005134734
704,0.10373308641177759,0.12014791874299435
728,0.12212780328885706,0.13719672388132823
753,0.12834637720765146,0.17035630916503397
778,0.13749269681862106,0.16160687354382203
802,0.1651547964264053,0.19101089934999962
826,0.1615668796915352,0.211725763288592
850,0.19073041983053035,0.2437670934296216
