mass,"['HZ+', 'WH+', 'WW']","['HZ-', 'WH-', 'WW']"
339,0.6462804431887038,0.7247685805432418
366,0.6507876802316089,0.7023574181752341
389,0.4409616888440173,0.4983342223621696
418,0.4065713463316331,0.49439447115720303
442,0.31600763651282615,0.39086896010845795
467,0.37632601340412436,0.34989343911543974
491,0.3203640635983503,0.3316342043118362
517,0.3123757445593104,0.36810667758596816
544,0.29239234254158625,0.3724024302910956
566,0.36335964118608494,0.32533228731839325
594,0.3391667879780711,0.3655222596947643
615,0.29389793768939376,0.30059568648603163
640,0.2863069625011423,0.3395992797259169
665,0.3858247977503392,0.36082652989926034
688,0.34433615953282937,0.31818599126395275
714,0.37274595657126763,0.41019262543581314
739,0.45175230753329726,0.419416274348446
763,0.445290409261291,0.5442701087343974
788,0.42244770892462075,0.4772531847965269
814,0.46268848004290675,0.48848289903758696
